protein_id,cluster_id,permanence,fd,membership,intra,extra,emax
4932.YBR165W,0,0.0,0.0,0.0,0,3,-1
4932.YLR195C,0,0.0,0.0,0.0,1,12,-1
4932.YKL044W,0,0.0,0.0,0.0,1,3,-1
4932.YGR037C,0,0.0,0.0,0.0,2,15,-1
4932.YNL199C,0,0.0,0.0,0.0,0,3,-1
4932.YJR011C,0,0.0,0.0,0.0,0,3,-1
4932.YJL059W,0,0.0,0.0,0.0,2,12,-1
4932.YKL050C,0,0.0,0.0,0.0,0,5,-1
4932.YDR033W,0,0.0,0.0,0.0,1,3,-1
4932.YOR077W,0,0.0,0.0,0.0,0,3,-1
4932.Q0010,0,1.0,0.0,0.5,8,0,-1
4932.YDR246W-A,0,0.0,0.0,0.0,0,7,-1
4932.YLR297W,0,0.0,0.0,0.0,0,5,-1
4932.YEL009C,0,0.0,0.0,0.0,4,113,-1
4932.YOR314W,0,0.0,0.0,0.0,0,3,-1
4932.YNL181W,0,0.0,0.0,0.0,0,11,-1
4932.YPL189W,0,0.0,0.0,0.0,1,2,-1
4932.YOR092W,0,1.0,0.0,0.5,2,0,-1
4932.YJL118W,0,0.0,0.0,0.0,0,3,-1
4932.YGR026W,0,0.0,0.0,0.0,0,3,-1
4932.YGR273C,0,0.0,0.0,0.0,0,6,-1
4932.Q0032,0,1.0,0.0,0.5,8,0,-1
4932.YNL249C,0,0.0,0.0,0.0,0,7,-1
4932.YDR522C,0,0.0,0.0,0.0,1,3,-1
4932.YER049W,0,0.0,0.0,0.0,3,10,-1
4932.YGL051W,0,0.0,0.0,0.0,1,3,-1
4932.YAL017W,0,0.0,0.0,0.0,0,7,-1
4932.YLR124W,0,0.0,0.0,0.0,0,5,-1
4932.YOR247W,0,0.0,0.0,0.0,0,8,-1
4932.YOR246C,0,0.0,0.0,0.0,1,8,-1
4932.YGR269W,0,0.0,0.0,0.0,0,7,-1
4932.YNR021W,0,0.0,0.0,0.0,0,7,-1
4932.YJL146W,0,0.0,0.0,0.0,1,2,-1
4932.YER140W,0,0.0,0.0,0.0,2,3,-1
4932.YGR210C,0,0.0,0.0,0.0,0,3,-1
4932.YCL007C,0,0.0,0.0,0.0,1,3,-1
4932.YCR069W,0,0.0,0.0,0.0,0,5,-1
4932.YLR419W,0,0.0,0.0,0.0,0,17,-1
4932.YML089C,0,0.0,0.0,0.0,0,3,-1
4932.YDL046W,0,0.0,0.0,0.0,0,4,-1
4932.YNL255C,0,0.0,0.0,0.0,0,32,-1
4932.YIR016W,0,0.0,0.0,0.0,0,4,-1
4932.YHR159W,0,0.0,0.0,0.0,0,3,-1
4932.YPR063C,0,0.0,0.0,0.0,2,3,-1
4932.YPR011C,0,0.0,0.0,0.0,1,6,-1
4932.YIL173W,0,0.0,0.0,0.0,0,3,-1
4932.YGL084C,0,0.0,0.0,0.0,0,5,-1
4932.YFR007W,0,0.0,0.0,0.0,1,6,-1
4932.YPL148C,0,0.0,0.0,0.0,0,3,-1
4932.YOR042W,0,0.0,0.0,0.0,2,18,-1
4932.YOR050C,0,0.0,0.0,0.0,0,3,-1
4932.YMR132C,0,0.0,0.0,0.0,0,3,-1
4932.YGR016W,0,0.0,0.0,0.0,0,3,-1
4932.YLR104W,0,0.0,0.0,0.0,2,3,-1
4932.YLR283W,0,0.0,0.0,0.0,0,6,-1
4932.YNL234W,0,0.0,0.0,0.0,0,7,-1
4932.YJR126C,0,0.0,0.0,0.0,0,5,-1
4932.YHR039C,0,0.0,0.0,0.0,0,7,-1
4932.YGL177W,0,0.0,0.0,0.0,0,5,-1
4932.YBL042C,0,0.0,0.0,0.0,0,4,-1
4932.YPL257W-A,0,0.0,0.0,0.0,0,3,-1
4932.YML068W,0,0.0,0.0,0.0,0,7,-1
4932.YOL092W,0,0.0,0.0,0.0,0,4,-1
4932.YBR066C,0,0.0,0.0,0.0,0,6,-1
4932.YBR287W,0,0.0,0.0,0.0,1,5,-1
4932.YGL036W,0,0.0,0.0,0.0,1,2,-1
4932.YOR104W,0,0.0,0.0,0.0,0,11,-1
4932.Q0092,0,1.0,0.0,0.5,7,7,4
4932.YDR370C,0,0.0,0.0,0.0,0,6,-1
4932.YJR100C,0,0.0,0.0,0.0,0,3,-1
4932.YMR180C,0,0.0,0.0,0.0,0,4,-1
4932.YCR047W-A,0,0.0,0.0,0.0,0,5,-1
4932.YJL133C-A,0,0.0,0.0,0.0,0,3,-1
4932.YDL227C,0,0.0,0.0,0.0,0,3,-1
4932.YOR286W,0,0.0,0.0,0.0,1,10,-1
4932.YNL239W,0,0.0,0.0,0.0,1,5,-1
4932.YNR064C,0,1.0,0.0,0.5,2,0,-1
4932.YOR242C,0,0.0,0.0,0.0,0,6,-1
4932.YFL034W,0,0.0,0.0,0.0,1,2,-1
4932.YKL107W,0,0.16666666666666663,0.0,0.08333333333333331,4,6,5
4932.YMR140W,0,0.0,0.0,0.0,2,11,-1
4932.YOR051C,0,0.0,0.0,0.0,1,2,-1
4932.Q0182,0,1.0,0.0,0.5,9,0,-1
4932.YGR153W,0,3.0,0.0,1.5,3,1,3
4932.YHL026C,0,0.0,0.0,0.0,0,3,-1
4932.Q0142,0,1.0,0.0,0.5,7,0,-1
4932.YIL152W,0,0.0,0.0,0.0,2,6,-1
4932.Q0143,0,1.0,0.0,0.5,8,0,-1
4932.YPL052W,0,0.0,0.0,0.0,2,3,-1
4932.YER115C,0,0.0,0.0,0.0,0,3,-1
4932.YGR049W,0,0.0,0.0,0.0,1,2,-1
4932.YDR061W,0,0.0,0.0,0.0,1,32,-1
4932.YCR061W,0,0.0,0.0,0.0,2,1,-1
4932.YIL154C,0,0.0,0.0,0.0,1,6,-1
4932.YDR336W,0,0.0,0.0,0.0,1,2,-1
4932.YJR112W-A,0,0.0,0.0,0.0,1,3,-1
4932.YNL311C,0,0.0,0.0,0.0,0,4,-1
4932.YCR090C,0,0.0,0.0,0.0,0,7,-1
4932.YGR162W,0,0.0,0.0,0.0,1,157,-1
4932.YDR509W,0,0.0,0.0,0.0,0,4,-1
4932.YCL057W,0,0.0,0.0,0.0,2,2,-1
4932.YPR083W,0,0.0,0.0,0.0,0,5,-1
4932.YMR130W,0,0.0,0.0,0.0,1,2,-1
4932.YNR028W,0,0.0,0.0,0.0,0,6,-1
4932.YBR067C,0,0.0,0.0,0.0,0,3,-1
4932.YFL010C,0,0.0,0.0,0.0,0,4,-1
4932.YDR274C,0,-0.5,0.0,-0.25,1,2,-1
4932.YER177W,0,0.0,0.0,0.0,2,56,-1
4932.YGL039W,0,1.0,0.0,0.5,2,1,5
4932.YFR009W,0,0.0,0.0,0.0,3,5,-1
4932.YLR064W,0,0.0,0.0,0.0,1,3,-1
4932.YFR057W,0,0.0,0.0,0.0,0,5,-1
4932.YOR032C,0,0.0,0.0,0.0,1,14,-1
4932.YML096W,0,0.0,0.0,0.0,0,3,-1
4932.YDR133C,0,0.0,0.0,0.0,0,4,-1
4932.YOL160W,0,0.0,0.0,0.0,0,3,-1
4932.YOL020W,0,0.0,0.0,0.0,2,6,-1
4932.YPL119C-A,0,3.0,0.0,1.5,3,1,3
4932.YNR066C,0,0.0,0.0,0.0,0,3,-1
4932.YLR001C,0,0.0,0.0,0.0,0,3,-1
4932.YOR285W,0,0.0,0.0,0.0,1,9,-1
4932.YER125W,0,0.0,0.0,0.0,5,100,-1
4932.YGL144C,0,0.0,0.0,0.0,0,13,-1
4932.YJL042W,0,0.0,0.0,0.0,0,3,-1
4932.YLR361C,0,0.0,0.0,0.0,0,4,-1
4932.YPL056C,0,0.0,0.0,0.0,0,5,-1
4932.YOR052C,0,0.0,0.0,0.0,0,3,-1
4932.YEL035C,0,0.0,0.0,0.0,0,6,-1
4932.YLR121C,0,0.0,0.0,0.0,0,3,-1
4932.YML066C,0,0.0,0.0,0.0,0,5,-1
4932.YMR070W,0,0.0,0.0,0.0,1,19,-1
4932.YMR023C,0,0.0,0.0,0.0,1,11,-1
4932.YMR040W,0,1.0,0.0,0.5,3,1,10
4932.YAL034C,0,0.0,0.0,0.0,0,3,-1
4932.YJR142W,0,0.0,0.0,0.0,0,4,-1
4932.YGL008C,0,0.0,0.0,0.0,4,44,-1
4932.YBR276C,0,0.0,0.0,0.0,0,5,-1
4932.YER011W,0,0.0,0.0,0.0,0,6,-1
4932.YLL015W,0,0.0,0.0,0.0,0,4,-1
4932.YDR505C,0,0.0,0.0,0.0,1,3,-1
4932.YNL045W,0,0.0,0.0,0.0,0,7,-1
4932.YDL114W,0,0.06666666666666665,0.0,0.033333333333333326,7,8,5
4932.YLL013C,0,0.0,0.0,0.0,6,244,-1
4932.YNL080C,0,0.0,0.0,0.0,0,4,-1
4932.YLR083C,0,0.0,0.0,0.0,0,4,-1
4932.YGL230C,0,0.0,0.0,0.0,0,5,-1
4932.YOL139C,0,0.0,0.0,0.0,3,150,-1
4932.YOL045W,0,0.0,0.0,0.0,0,4,-1
4932.YLR184W,0,0.0,0.0,0.0,0,3,-1
4932.YOR044W,0,0.0,0.0,0.0,0,6,-1
4932.Q0297,0,1.0,0.0,0.5,7,0,-1
4932.YOR355W,0,0.0,0.0,0.0,1,9,-1
4932.YLR242C,0,0.0,0.0,0.0,0,11,-1
4932.YDR304C,0,0.0,0.0,0.0,0,11,-1
4932.YGL195W,0,0.0,0.0,0.0,3,33,-1
4932.YKR064W,0,0.0,0.0,0.0,0,3,-1
4932.YML119W,0,0.0,0.0,0.0,0,7,-1
4932.YBR233W,0,0.0,0.0,0.0,1,4,-1
4932.YMR211W,0,0.0,0.0,0.0,0,3,-1
4932.YIR014W,0,0.0,0.0,0.0,0,4,-1
4932.YBR209W,0,0.0,0.0,0.0,0,4,-1
4932.YGR197C,0,0.0,0.0,0.0,0,5,-1
4932.YNL058C,0,0.0,0.0,0.0,1,4,-1
4932.YGR035C,0,0.0,0.0,0.0,0,6,-1
4932.YJL206C,0,0.0,0.0,0.0,0,3,-1
4932.YNL111C,0,0.0,0.0,0.0,1,18,-1
4932.YML094W,0,0.0,0.0,0.0,0,57,-1
4932.YBR290W,0,0.0,0.0,0.0,2,14,-1
4932.Q0017,0,1.0,0.0,0.5,8,0,-1
4932.YMR136W,0,0.0,0.0,0.0,0,3,-1
4932.YER046W-A,0,0.0,0.0,0.0,0,3,-1
4932.YBR076W,0,1.0,0.0,0.5,5,0,-1
4932.YLR280C,0,0.0,0.0,0.0,0,3,-1
4932.YBR025C,0,0.0,0.0,0.0,0,17,-1
4932.YBL048W,0,0.0,0.0,0.0,0,4,-1
4932.YOR227W,0,0.0,0.0,0.0,0,5,-1
4932.YHR050W,0,0.0,0.0,0.0,1,10,-1
4932.YCL017C,1,1.560919540229885,0.0,0.7804597701149425,32,13,2
4932.YLL051C,1,2.466666666666667,0.0,1.2333333333333334,6,2,4
4932.YMR228W,1,2.333333333333333,0.0,1.1666666666666665,3,1,4
4932.YDR204W,1,1.0,0.0,0.5,13,0,-1
4932.YGL258W,1,0.75,0.0,0.375,3,4,5
4932.YNR060W,1,2.6666666666666665,0.0,1.3333333333333333,3,1,7
4932.YER093C-A,1,1.0,0.0,0.5,13,0,0
4932.YDL067C,1,1.0,0.0,0.5,33,0,-1
4932.YGL166W,1,0.8333333333333334,0.0,0.4166666666666667,4,4,5
4932.YBR165W,1,0.0,0.0,0.0,1,2,-1
4932.YOR316C,1,6.966666666666667,0.0,3.4833333333333334,15,2,4
4932.YGR062C,1,4.0560811737282325,0.0,2.0280405868641163,53,10,3
4932.YLR195C,1,0.0,0.0,0.0,1,12,-1
4932.YDR205W,1,9.688888888888888,0.0,4.844444444444444,10,1,14
4932.YKL044W,1,0.0,0.0,0.0,1,3,-1
4932.YNL123W,1,0.9333333333333332,0.0,0.4666666666666666,6,5,7
4932.YMR150C,1,1.0,0.0,0.5,6,0,-1
4932.YOR196C,1,1.965927750410509,0.0,0.9829638752052545,28,13,5
4932.YNL199C,1,0.0,0.0,0.0,0,3,-1
4932.YBL065W,1,1.0,0.0,0.5,3,0,-1
4932.YOR031W,1,0.8,0.0,0.4,6,4,5
4932.YJR011C,1,0.0,0.0,0.0,0,3,-1
4932.YPR155C,1,2.511111111111111,0.0,1.2555555555555555,10,3,9
4932.YOR382W,1,11.636363636363637,0.0,5.818181818181818,12,1,10
4932.YLR193C,1,1.0190476190476192,0.0,0.5095238095238096,15,9,7
4932.YJL059W,1,0.0,0.0,0.0,3,11,-1
4932.YKL050C,1,0.0,0.0,0.0,0,5,-1
4932.YPL059W,1,1.4431855500821018,0.0,0.7215927750410509,29,15,5
4932.YKR016W,1,12.323886639676113,0.0,6.161943319838056,39,3,5
4932.YJL147C,1,1.0,0.0,0.5,2,0,-1
4932.YDR539W,1,1.0,0.0,0.5,2,0,-1
4932.YNL295W,1,1.0,0.0,0.5,2,1,3
4932.YGL040C,1,0.7303030303030302,0.0,0.3651515151515151,13,9,3
4932.YKR035C,1,0.95,0.0,0.475,5,4,3
4932.YGR021W,1,2.3047619047619046,0.0,1.1523809523809523,15,5,3
4932.YHL014C,1,0.0,0.0,0.0,1,1,3
4932.YIL114C,1,9.985714285714286,0.0,4.992857142857143,21,2,5
4932.YDL009C,1,4.7,0.0,2.35,5,1,7
4932.YBR255C-A,1,1.0,0.0,0.5,11,0,-1
4932.YBR230W-A,1,1.0,0.0,0.5,8,0,-1
4932.YPL189W,1,0.0,0.0,0.0,2,1,-1
4932.YDR534C,1,1.0,0.0,0.5,8,0,-1
4932.YMR019W,1,1.0,0.0,0.5,1,0,-1
4932.YBL045C,1,3.727246989132565,0.0,1.8636234945662824,74,17,5
4932.YLR259C,1,0.14860040921161466,0.0,0.07430020460580733,41,60,15
4932.YBR113W,1,10.563636363636364,0.0,5.281818181818182,11,1,4
4932.YBR292C,1,1.0,0.0,0.5,10,0,-1
4932.YLR218C,1,1.0,0.0,0.5,21,0,0
4932.YHR122W,1,2.8484848484848486,0.0,1.4242424242424243,11,5,4
4932.YJR121W,1,1.0043634096930032,0.0,0.5021817048465016,95,52,5
4932.YDL133W,1,1.0,0.0,0.5,4,0,0
4932.YGR273C,1,0.0,0.0,0.0,1,5,-1
4932.YDR377W,1,13.698025551684088,0.0,6.849012775842044,42,3,3
4932.YMR282C,1,3.1666666666666665,0.0,1.5833333333333333,4,1,5
4932.YPL172C,1,32.321969696969695,0.0,16.160984848484848,33,1,11
4932.YNL260C,1,5.7727272727272725,0.0,2.8863636363636362,11,3,4
4932.YDR522C,1,0.0,0.0,0.0,1,3,-1
4932.YER049W,1,0.0,0.0,0.0,3,10,-1
4932.YPR021C,1,3.0,0.0,1.5,3,1,5
4932.YGL051W,1,0.0,0.0,0.0,1,3,-1
4932.YPL005W,1,2.1136363636363638,0.0,1.0568181818181819,11,4,3
4932.YIL098C,1,7.357142857142858,0.0,3.678571428571429,8,1,3
4932.YAL017W,1,0.0,0.0,0.0,0,7,-1
4932.YOR387C,1,1.6111111111111112,0.0,0.8055555555555556,9,4,10
4932.YLR124W,1,0.0,0.0,0.0,0,5,-1
4932.YGR231C,1,1.524216524216524,0.0,0.762108262108262,29,12,3
4932.YOR246C,1,0.0,0.0,0.0,0,9,-1
4932.YNR041C,1,4.935978835978836,0.0,2.467989417989418,28,5,5
4932.YNR021W,1,0.0,0.0,0.0,0,7,-1
4932.YGL057C,1,1.0,0.0,0.5,7,0,-1
4932.YBR091C,1,3.3547652916073964,0.0,1.6773826458036982,42,6,2
4932.YGL091C,1,3.412747252747253,0.0,1.7063736263736264,25,8,4
4932.YDL069C,1,4.954545454545455,0.0,2.4772727272727275,11,2,3
4932.YGR210C,1,0.0,0.0,0.0,0,3,-1
4932.YFL036W,1,0.11471861471861466,0.0,0.05735930735930733,12,14,2
4932.YCR069W,1,0.0,0.0,0.0,0,5,-1
4932.YDR286C,1,1.0,0.0,0.5,9,0,0
4932.YLR419W,1,0.0,0.0,0.0,0,17,-1
4932.YPR191W,1,6.133788832418969,0.0,3.0668944162094847,74,11,5
4932.YJL116C,1,1.0,0.0,0.5,2,0,-1
4932.YDL185W,1,2.3084033613445376,0.0,1.1542016806722688,35,14,10
4932.YNL255C,1,0.0,0.0,0.0,1,31,-1
4932.YIR016W,1,0.0,0.0,0.0,1,3,-1
4932.YLR390W,1,1.0,0.0,0.5,1,0,0
4932.YHR175W,1,3.4333333333333336,0.0,1.7166666666666668,16,4,5
4932.YGR132C,1,4.3566666666666665,0.0,2.1783333333333332,26,4,3
4932.YHR159W,1,0.0,0.0,0.0,0,3,-1
4932.YMR115W,1,1.0,0.0,0.5,10,0,-1
4932.YPR063C,1,-0.33333333333333337,0.0,-0.16666666666666669,4,1,-1
4932.YMR089C,1,4.708333333333333,0.0,2.3541666666666665,17,2,3
4932.YJR127C,1,1.0,0.0,0.5,1,0,-1
4932.YPL252C,1,8.147780126849895,0.0,4.0738900634249475,44,5,5
4932.YLL027W,1,4.208603896103896,0.0,2.104301948051948,33,7,5
4932.YOL152W,1,1.0,0.0,0.5,6,0,-1
4932.YOR125C,1,8.516339869281046,0.0,4.258169934640523,18,2,5
4932.Q0055,1,7.714285714285714,0.0,3.857142857142857,8,1,2
4932.YLR136C,1,1.5073529411764706,0.0,0.7536764705882353,17,8,11
4932.YNR040W,1,5.133333333333333,0.0,2.5666666666666664,7,0,0
4932.YBR196C-A,1,1.0,0.0,0.5,2,0,-1
4932.YER154W,1,1.8783345714864592,0.0,0.9391672857432296,70,24,3
4932.YLR072W,1,0.8333333333333333,0.0,0.41666666666666663,9,5,10
4932.YLR104W,1,0.0,0.0,0.0,3,2,-1
4932.YKL016C,1,1.3255264509501798,0.0,0.6627632254750899,60,33,3
4932.YGR255C,1,8.522875816993464,0.0,4.261437908496732,19,1,7
4932.YLL009C,1,4.284081632653061,0.0,2.1420408163265305,50,10,3
4932.YIL023C,1,6.593406593406593,0.0,3.2967032967032965,14,2,4
4932.YGL177W,1,0.0,0.0,0.0,1,4,-1
4932.YBR266C,1,0.6666666666666666,0.0,0.3333333333333333,2,3,4
4932.YLR164W,1,1.9166666666666665,0.0,0.9583333333333333,9,4,5
4932.YBL042C,1,0.0,0.0,0.0,0,4,-1
4932.YKL096C-B,1,3.8333333333333335,0.0,1.9166666666666667,4,1,2
4932.YEL051W,1,3.492792792792793,0.0,1.7463963963963964,37,10,5
4932.YBR024W,1,20.504761904761907,0.0,10.252380952380953,21,1,5
4932.YGR181W,1,2.0028860028860027,0.0,1.0014430014430014,57,19,3
4932.YGR082W,1,2.001915991156964,0.0,1.000957995578482,61,22,5
4932.YMR166C,1,1.5,0.0,0.75,4,2,2
4932.YHR083W,1,11.26330532212885,0.0,5.631652661064425,36,2,14
4932.YOR200W,1,0.75,0.0,0.375,3,4,3
4932.YBR066C,1,0.0,0.0,0.0,0,6,-1
4932.YBR287W,1,0.0,0.0,0.0,1,5,-1
4932.YMR265C,1,1.8,0.0,0.9,6,3,4
4932.YBL022C,1,0.3939393939393939,0.0,0.19696969696969696,13,11,5
4932.YGL036W,1,0.0,0.0,0.0,1,2,-1
4932.YKL134C,1,1.9205128205128206,0.0,0.9602564102564103,14,4,5
4932.YOR104W,1,0.0,0.0,0.0,0,11,-1
4932.YOL096C,1,5.181372549019608,0.0,2.590686274509804,17,3,5
4932.YDL129W,1,5.466666666666667,0.0,2.7333333333333334,6,1,3
4932.YGL018C,1,0.9987179487179488,0.0,0.4993589743589744,41,24,15
4932.YGR033C,1,18.144144144144143,0.0,9.072072072072071,39,0,-1
4932.YJR100C,1,0.0,0.0,0.0,0,3,-1
4932.YKR071C,1,10.528409090909092,0.0,5.264204545454546,32,4,4
4932.YMR243C,1,5.696969696969697,0.0,2.8484848484848486,12,2,5
