cluster_id,protein_id
1,YER008C
1,YEL013W
1,YKL006W
1,YMR246W
1,YNL138W
1,YER017C
1,YPR016C
1,YGR086C
1,YGL241W
1,YOL041C
1,YDR443C
1,YJR063W
1,YLR410W
1,YJL061W
1,YFR028C
1,YGR192C
1,YLR183C
1,YKL085W
1,YLR029C
1,YGR136W
1,YBR214W
1,YJR011C
1,YNL175C
1,YNL251C
1,YGR279C
1,YPL190C
1,YJL006C
1,YMR078C
1,YML109W
1,YNL137C
1,YOR249C
1,YCL010C
1,YGL082W
1,YOR319W
1,YNL236W
1,YHR183W
1,YBL045C
1,YJR002W
1,YLR200W
1,YLR371W
1,YKR068C
1,YMR149W
1,YPL184C
1,YAL035W
1,YER148W
1,YLR314C
1,YDL031W
1,YPL153C
1,YLR360W
1,YDR238C
1,YLR291C
1,YIL068C
1,YFL017W
1,YPR161C
1,YDR036C
1,YCR077C
1,YPR100W
1,YIL018W
1,YDR122W
1,YJR022W
1,YNL297C
1,YMR014W
1,YPL018W
1,YLR197W
1,YKL065C
1,YGR204W
1,YER117W
1,YBL061C
1,YHR092C
1,YGL156W
1,YBR155W
1,YML007W
1,YPR189W
1,YOR027W
1,YER150W
1,YEL022W
1,YBR278W
1,YDL083C
1,YML049C
1,YNL021W
1,YDR469W
1,YGL055W
1,YDR071C
1,YMR199W
1,YNL147W
1,YIL161W
1,YOL016C
1,YJR123W
1,YDR243C
1,YNR003C
1,YKL018W
1,YGR165W
1,YHL004W
1,YMR263W
1,YGR161C
1,YIL109C
1,YMR214W
1,YPR093C
1,YLR115W
1,YGR152C
1,YPR024W
1,YIL076W
1,YDL195W
1,YGR234W
1,YPL235W
1,YPR108W
1,YKL125W
1,YOR276W
1,YPL085W
1,YNL112W
1,YHL030W
1,YPR179C
1,YDR338C
1,YOR164C
1,YHR197W
1,YDR245W
1,YJL101C
1,YER091C
1,YDL042C
1,YAL024C
1,YOR293W
1,YCL009C
1,YDL142C
1,YPL219W
1,YDR484W
1,YDR434W
1,YDR450W
1,YMR043W
1,YGL025C
1,YFR009W
1,YML097C
1,YNL216W
1,YNL272C
1,YGR232W
1,YLR381W
1,YPR184W
1,YAR002W
1,YPL207W
1,YFL044C
1,YOL062C
1,YKR095W
1,YIL104C
1,YBL007C
1,YHR099W
1,YNL227C
1,YDR365C
1,YDR240C
1,YBR196C
1,YHR062C
1,YGR205W
1,YJL146W
1,YDR337W
1,YOR234C
1,YMR225C
1,YLR048W
1,YOR294W
1,YCR043C
1,YDR462W
1,YML028W
1,YKR085C
1,YFR049W
1,YDR359C
1,YDR525W
1,YLR272C
1,YJR142W
1,YLR386W
1,YGR252W
1,YOR312C
1,YER147C
1,YNL107W
1,YPR074C
1,YFL039C
1,YDL111C
1,YLR370C
1,YGL019W
1,YBR260C
1,YJR077C
1,YPL181W
1,YDL080C
1,YPR178W
1,YCR073W
1,YPL020C
1,YBL002W
1,YLR103C
1,YDL018C
1,YJR041C
1,YPR017C
1,YLR330W
1,YOR349W
1,YCR063W
1,YCR052W
1,YOR144C
1,YHR195W
1,YPL048W
1,YPR036W
1,YDR207C
1,YNR030W
1,YGL029W
1,YLR142W
1,YCR046C
1,YHR188C
1,YOR201C
1,YLR407W
1,YLR452C
1,YML013W
1,YPL259C
1,YCR028C
1,YGR254W
1,YGR120C
1,YGL115W
1,YNL261W
1,YPR152C
1,YLR189C
1,YMR273C
1,YGR075C
1,YLR002C
1,YMR167W
1,YJR101W
1,YLR132C
1,YNL102W
1,YML120C
1,YCL054W
1,YDL112W
1,YDR174W
1,YGR162W
1,YIL071C
1,YGL039W
1,YJR007W
1,YHR165C
1,YML029W
1,YHR039C
1,YGL131C
1,YLR055C
1,YNL002C
1,YLL036C
1,YER082C
1,YHR167W
1,YKR031C
1,YOR270C
